Periodo,General,Subyacente,Mercancias,Servicios,Nosubyacente,Agropecuarios,Energeticos
1990/04,24.43,23.11,,,28.76,,
1990/05,24.89,24.66,,,25.64,,
1990/06,26.11,26.6,,,24.52,,
1990/07,27.13,27.97,,,24.48,,
1990/08,28.08,28.78,,,25.85,,
1990/09,28.68,28.91,,,27.9,,
1990/10,28.62,28.69,,,28.39,,
1990/11,30.21,29.46,,,32.72,,
1990/12,29.93,29.37,,,31.76,,
1991/01,27.11,27.89,,,24.64,,
1991/02,26.46,28.02,,,21.65,,
1991/03,26.04,27.97,,,20.14,,
1991/04,25.45,26.88,,,21.01,,
1991/05,24.51,25.19,,,22.32,,
1991/06,23.1,23.28,,,22.53,,
1991/07,21.97,21.94,,,22.07,,
1991/08,20.76,20.87,,,20.4,,
1991/09,20.25,20.58,,,19.15,,
1991/10,19.92,20.31,,,18.62,,
1991/11,19.72,18.89,,,22.43,,
1991/12,18.79,17.65,,,22.47,,
1992/01,17.95,16.71,,,21.94,,
1992/02,17.3,15.75,,,22.33,,
1992/03,16.82,15.09,,,22.5,,
1992/04,16.64,14.9,,,22.35,,
1992/05,16.28,15.2,,,19.79,,
1992/06,15.85,15.26,,,17.77,,
1992/07,15.56,15.18,,,16.8,,
1992/08,15.46,15.13,,,16.57,,
1992/09,15.32,14.82,,,17.01,,
1992/10,14.82,14.01,,,17.55,,
1992/11,12.96,13.74,,,10.5,,
1992/12,11.94,12.86,,,9.09,,
1993/01,11.32,12.21,,,8.57,,
1993/02,10.91,12.23,,,6.86,,
1993/03,10.44,12.35,,,4.57,,
1993/04,10.09,12.06,,,4.06,,
1993/05,10,11.2,,,6.21,,
1993/06,9.87,10.58,,,7.61,,
1993/07,9.7,10.14,,,8.32,,
1993/08,9.62,9.89,,,8.75,,
1993/09,9.48,9.54,,,9.28,,
1993/10,9.14,9.46,,,8.1,,
1993/11,8.72,9.08,,,7.55,,
1993/12,8.01,8.42,,,6.71,,
1994/01,7.5,7.77,,,6.62,,
1994/02,7.18,7.48,,,6.19,,
1994/03,7.1,7.18,,,6.84,,
1994/04,7.01,7.14,,,6.57,,
1994/05,6.92,7.28,,,5.72,,
1994/06,6.85,7.38,,,5.12,,
1994/07,6.81,7.31,,,5.18,,
1994/08,6.74,7.16,,,5.35,,
1994/09,6.71,7.18,,,5.16,,
1994/10,6.83,7.09,,,5.98,,
1994/11,6.93,7.25,,,5.87,,
1994/12,7.05,7.68,,,5,,
1995/01,10.23,10.93,,,7.94,,
1995/02,14.31,15.04,,,11.93,,
1995/03,20.43,19.6,,,22.46,,
1995/04,29.39,27.86,,,33.55,,
1995/05,34.15,33.41,,,35.99,,
1995/06,37.72,37.24,,,38.78,,
1995/07,39.91,39.62,,,40.34,,
1995/08,41.57,41.51,,,41.33,,
1995/09,43.48,43.66,,,42.58,,
1995/10,45.66,45.43,,,46,,
1995/11,48.46,47.63,,,50.57,,
1995/12,51.97,50.6,,,55.57,,
1996/01,51.72,49.94,,,56.5,,
1996/02,48.95,46.79,,,55.13,,
1996/03,43.75,43.43,,,44.68,,
1996/04,36.93,37,,,36.74,,
1996/05,33.83,32.92,,,36.49,,
1996/06,31.82,30.74,,,35.01,,
1996/07,31.03,29.99,,,34.09,,
1996/08,30.6,29.34,,,34.38,,
1996/09,30,28.59,,,34.26,,
1996/10,28.97,27.81,,,32.42,,
1996/11,27.77,26.77,,,30.72,,
1996/12,27.7,25.95,,,32.77,,
1997/01,26.44,25.04,,,30.44,,
1997/02,25.64,24.26,,,29.54,,
1997/03,24.46,22.98,,,28.68,,
1997/04,22.33,21.21,,,25.52,,
1997/05,21.23,20.57,,,23.11,,
1997/06,20.35,19.79,,,21.93,,
1997/07,19.7,18.99,,,21.72,,
1997/08,19.18,18.35,,,21.54,,
1997/09,18.76,17.98,,,21.01,,
1997/10,18.24,17.73,,,19.68,,
1997/11,17.77,17.49,,,18.59,,
1997/12,15.72,16.46,,,13.68,,
1998/01,15.27,15.79,,,13.85,,
1998/02,15.35,16.02,,,13.53,,
1998/03,15.27,15.83,,,13.74,,
1998/04,15.1,15.68,,,13.51,,
1998/05,14.97,15.44,,,13.66,,
1998/06,15.31,15.58,,,14.55,,
1998/07,15.41,15.52,,,15.11,,
1998/08,15.5,15.78,,,14.7,,
1998/09,15.92,16.35,,,14.74,,
1998/10,16.65,16.9,,,15.96,,
1998/11,17.41,17.08,,,18.34,,
1998/12,18.61,17.44,,,21.89,,
1999/01,19.02,18.01,,,21.8,,
1999/02,18.54,17.89,,,20.36,,
1999/03,18.26,18.43,,,17.77,,
1999/04,18.23,18.49,,,17.51,,
1999/05,18.01,18.37,,,16.98,,
1999/06,17.39,17.9,,,15.97,,
1999/07,17.04,17.77,,,15,,
1999/08,16.58,17.45,,,14.13,,
1999/09,15.83,16.63,,,13.53,,
1999/10,14.91,15.85,,,12.25,,
1999/11,13.92,15.27,,,10.17,,
1999/12,12.32,14.41,,,6.69,,
2000/01,11.02,13.17,,,5.27,,
2000/02,10.52,12.36,,,5.51,,
2000/03,10.11,11.33,,,6.71,,
2000/04,9.73,10.59,,,7.31,,
2000/05,9.48,10.01,,,7.98,,
2000/06,9.41,9.52,,,9.09,,
2000/07,9.12,9.17,,,8.98,,
2000/08,9.1,8.8,,,9.98,,
2000/09,8.85,8.32,,,10.4,,
2000/10,8.91,8.11,,,11.27,,
2000/11,8.87,8.11,,,11.1,,
2000/12,8.96,7.85,,,12.17,,
2001/01,8.11,7.26,,,10.57,,
2001/02,7.09,6.89,,,7.67,,
2001/03,7.17,6.84,,,8.15,,
2001/04,7.11,6.79,,,8.01,,
2001/05,6.95,6.71,,,7.65,,
2001/06,6.57,6.7,,,6.21,,
2001/07,5.88,6.51,,,4.08,,
2001/08,5.93,6.42,,,4.52,,
2001/09,6.14,6.4,,,5.38,,
2001/10,5.89,6.12,,,5.24,,
2001/11,5.39,5.7,,,4.5,,
2001/12,4.4,5.36,,,1.75,,
2002/01,4.79,5.1,,,3.9,,
2002/02,4.79,5.05,,,4.02,,
2002/03,4.66,4.85,,,4.1,,
2002/04,4.7,4.72,,,4.65,,
2002/05,4.68,4.54,,,5.07,,
2002/06,4.94,4.34,,,6.69,,
2002/07,5.51,4.32,,,9.13,,
2002/08,5.29,4.32,,,8.26,,
2002/09,4.95,4.22,,,7.13,,
2002/10,4.94,4.2,,,7.33,,
2002/11,5.39,4.15,,,9.79,,
2002/12,5.7,4.12,,,11.33,,
2003/01,5.16,4.06,,,9.28,,
2003/02,5.52,3.84,,,11.23,,
2003/03,5.64,3.84,,,11.92,,
2003/04,5.25,3.83,,,10.23,,
2003/05,4.7,3.91,,,7.28,,
2003/06,4.27,3.89,,,5.65,,
2003/07,4.13,3.89,,,5,,
2003/08,4.04,3.91,,,4.52,,
2003/09,4.04,3.73,,,5.19,,
2003/10,3.96,3.71,,,4.88,,
2003/11,3.98,3.78,,,4.7,,
2003/12,3.98,3.87,,,4.37,,
2004/01,4.2,3.8,,,5.62,,
2004/02,4.53,3.76,,,7.33,,
2004/03,4.23,3.72,,,6.06,,
2004/04,4.21,3.71,,,6.02,,
2004/05,4.29,3.67,,,6.55,,
2004/06,4.37,3.83,,,6.33,,
2004/07,4.49,3.87,,,6.76,,
2004/08,4.82,3.79,,,8.63,,
2004/09,5.06,3.89,,,9.38,,
2004/10,5.4,3.96,,,10.66,,
2004/11,5.43,3.94,,,10.73,,
2004/12,5.19,3.92,,,9.67,,
2005/01,4.54,3.91,,,6.75,,
2005/02,4.27,3.85,,,5.73,,
2005/03,4.39,3.77,,,6.54,,
2005/04,4.6,3.62,,,8.04,,
2005/05,4.6,3.58,,,8.24,,
2005/06,4.33,3.56,,,7.12,,
2005/07,4.47,3.59,,,7.61,,
2005/08,3.95,3.45,,,5.72,,
2005/09,3.51,3.35,,,4.06,,
2005/10,3.05,3.3,,,2.18,,
2005/11,2.91,3.27,,,1.72,,
2005/12,3.33,3.27,,,3.53,,
2006/01,3.94,3.11,,,6.74,,
2006/02,3.75,3.05,,,6.14,,
2006/03,3.41,3.16,,,4.26,,
2006/04,3.2,3.32,,,2.79,,
2006/05,3,3.26,,,2.1,,
2006/06,3.18,3.32,,,2.72,,
2006/07,3.06,3.37,,,1.99,,
2006/08,3.47,3.41,,,3.66,,
2006/09,4.09,3.48,,,6.23,,
2006/10,4.29,3.47,,,7.15,,
2006/11,4.09,3.53,,,6,,
2006/12,4.05,3.65,,,5.42,,
2007/01,3.98,3.9,,,4.25,,
2007/02,4.11,3.96,,,4.63,,
2007/03,4.21,3.85,,,5.41,,
2007/04,3.99,3.7,,,4.99,,
2007/05,3.95,3.76,,,4.58,,
2007/06,3.98,3.75,,,4.81,,
2007/07,4.14,3.79,,,5.35,,
2007/08,4.03,3.89,,,4.51,,
2007/09,3.79,3.82,,,3.69,,
2007/10,3.74,3.92,,,3.14,,
2007/11,3.93,3.89,,,4.07,,
2007/12,3.76,3.87,,,3.39,,
2008/01,3.7,3.84,,,3.26,,
2008/02,3.72,3.89,,,3.16,,
2008/03,4.25,4.09,,,4.77,,
2008/04,4.55,4.3,,,5.38,,
2008/05,4.95,4.59,,,6.18,,
2008/06,5.26,4.78,,,6.9,,
2008/07,5.39,4.88,,,7.16,,
2008/08,5.57,5.03,,,7.43,,
2008/09,5.47,5.14,,,6.59,,
2008/10,5.78,5.1,,,8.08,,
2008/11,6.23,5.34,,,9.19,,
2008/12,6.53,5.54,,,9.8,,
2009/01,6.28,5.54,,,8.72,,
2009/02,6.2,5.58,,,8.26,,
2009/03,6.04,5.61,,,7.47,,
2009/04,6.17,5.64,,,7.93,,
2009/05,5.98,5.35,,,8.12,,
2009/06,5.74,5.12,,,7.83,,
2009/07,5.44,5.02,,,6.84,,
2009/08,5.08,4.75,,,6.19,,
2009/09,4.89,4.55,,,6.03,,
2009/10,4.5,4.59,,,4.2,,
2009/11,3.86,4.27,,,2.56,,
2009/12,3.57,4.16,,,1.72,,
2010/01,4.46,4.48,,,4.38,,
2010/02,4.83,4.43,,,6.13,,
2010/03,4.97,4.26,,,7.27,,
2010/04,4.27,3.93,,,5.38,,
2010/05,3.92,3.96,,,3.76,,
2010/06,3.69,3.85,,,3.19,,
2010/07,3.64,3.74,,,3.28,,
2010/08,3.68,3.69,,,3.64,,
2010/09,3.7,3.65,,,3.86,,
2010/10,4.02,3.51,,,5.7,,
2010/11,4.32,3.61,,,6.61,,
2010/12,4.4,3.58,,,7.09,,
2011/01,3.78,3.27,,,5.39,,
2011/02,3.57,3.26,,,4.53,,
2011/03,3.04,3.21,,,2.46,,
2011/04,3.36,3.18,,,3.9,,
2011/05,3.25,3.12,,,3.45,,
2011/06,3.28,3.18,,,3.34,,
2011/07,3.55,3.19,,,4.51,,
2011/08,3.42,3.22,4.39,2.24,3.9,4.37,3.58
2011/09,3.14,3.12,4.42,2.03,2.98,2.09,3.5
2011/10,3.2,3.19,4.33,2.24,3.09,0.79,4.37
2011/11,3.48,3.28,4.32,2.41,4.13,0.87,5.85
2011/12,3.82,3.35,4.52,2.4,5.34,3.73,6.19
2012/01,4.05,3.34,4.64,2.28,6.38,7.37,5.82
2012/02,3.87,3.37,4.75,2.23,5.53,5.45,5.58
2012/03,3.73,3.31,4.51,2.32,5.12,5.06,5.16
2012/04,3.41,3.39,4.48,2.48,3.49,0.86,5
2012/05,3.85,3.48,4.5,2.63,5.15,5.6,4.89
2012/06,4.34,3.5,4.66,2.54,7.26,11.29,5.02
2012/07,4.42,3.59,4.91,2.5,7.3,11.27,5.02
2012/08,4.57,3.7,5.23,2.43,7.58,11.76,5.19
2012/09,4.77,3.61,5.24,2.25,8.81,16.02,4.73
2012/10,4.6,3.58,5.17,2.25,8.07,15.6,3.93
2012/11,4.18,3.3,5.22,1.7,7.09,13.02,3.94
